text,label
"Government announces new education policy for students",REAL
"Scientists discover a new method to improve solar energy",REAL
"India launches a new digital education program",REAL
"Researchers develop a new medical technology",REAL
"Government announces new employment opportunities",REAL
"New technology helps farmers improve crop production",REAL
"Scientists successfully develop a new battery technology",REAL
"University announces new scholarship program for students",REAL
"Weather department predicts heavy rainfall in several states",REAL
"Government launches new public transportation project",REAL
"Aliens have landed in India and are taking over cities",FAKE
"Drinking hot water can make humans live for 200 years",FAKE
"Scientists confirm that the moon is made of cheese",FAKE
"Government secretly replaces all smartphones with tracking devices",FAKE
"People can become invisible by eating a special fruit",FAKE
"Earth will stop rotating tomorrow according to scientists",FAKE
"Miracle tablet allows humans to live without sleeping",FAKE
"Aliens are controlling the internet from the moon",FAKE
"New secret technology can turn stones into gold instantly",FAKE
"Drinking only coffee gives humans superpowers",FAKE
